final velocities,final accellerations,final kinetic energies
28.556279836421965,18.127915372712017,6.548354648769253
2.3982723670681874,10.148239622155451,4.914991879859339
19.011538634727636,8.663047348294038,6.495417804309715
4.291387819265415,11.932511099096915,-2.3720104408257847
1.8746294025879682,4.890139887902228,1.9002635724680579
9.606117243542123,8.828813781938422,-5.928332596571354
32.06083224086185,11.90026929544234,-6.100803342843158
41.91929015730943,6.432491658244741,-6.372001516314786
4.8846740846808885,12.314789602556106,3.6277775111953874
21.977823820435482,13.513826213629706,6.087357854868364
